YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,DEST,DEP_DEL15
2023,MAY,7,Sunday,American Airlines,DFW,LAS,0
2023,APR,19,Wednesday,Southwest Airlines,AUS,PHX,0
2023,JAN,6,Friday,Southwest Airlines,BNA,DEN,1
2022,SEP,11,Sunday,Southwest Airlines,SAN,SJC,0
2023,APR,28,Friday,Alaska Airlines,DFW,SEA,0
2022,OCT,16,Sunday,Spirit Air Lines,OAK,LAS,1
2023,JUN,4,Sunday,United Air Lines,SFO,BOS,0
2023,JAN,24,Tuesday,Delta Air Lines,LAS,MSP,0
2022,OCT,3,Monday,Delta Air Lines,JFK,MIA,0
2023,FEB,4,Saturday,Republic Airline,GSP,EWR,0
2022,SEP,30,Friday,Southwest Airlines,DEN,ATL,1
2023,MAR,2,Thursday,Republic Airline,IND,DCA,0
2023,JUL,19,Wednesday,United Air Lines,ATL,EWR,0
2022,NOV,14,Monday,American Airlines,PHX,CMH,0
2022,SEP,21,Wednesday,Southwest Airlines,DEN,OAK,0
2022,AUG,22,Monday,Frontier Airlines,DEN,SDF,0
2023,APR,13,Thursday,United Air Lines,CLE,ORD,0
2023,MAR,8,Wednesday,Endeavor Air,LGA,RDU,1
2023,FEB,7,Tuesday,Delta Air Lines,BOS,ATL,0
2022,OCT,6,Thursday,Southwest Airlines,TUS,LAS,0
2023,APR,11,Tuesday,United Air Lines,DFW,SFO,0
2022,NOV,27,Sunday,Southwest Airlines,BWI,TPA,1
2022,OCT,17,Monday,Southwest Airlines,MCO,MKE,1
2023,MAY,31,Wednesday,Delta Air Lines,ALB,ATL,0
2023,JUN,28,Wednesday,United Air Lines,SFO,SAT,1
2022,DEC,23,Friday,United Air Lines,JAC,EWR,1
2022,DEC,18,Sunday,American Airlines,CLT,LGA,1
2022,NOV,19,Saturday,Southwest Airlines,STL,DSM,1
2023,MAY,26,Friday,Delta Air Lines,SEA,CVG,0
2023,JUN,25,Sunday,American Airlines,CLT,CLE,0
2023,MAR,18,Saturday,Delta Air Lines,BOS,ATL,0
2023,JAN,5,Thursday,American Airlines,CLT,ROC,0
2022,SEP,27,Tuesday,Southwest Airlines,BNA,MKE,0
2022,AUG,20,Saturday,Allegiant Air,SAV,GRR,0
2023,MAR,13,Monday,American Airlines,DFW,BZN,0
2023,APR,18,Tuesday,United Air Lines,MCO,IAH,0
2023,JAN,12,Thursday,United Air Lines,IAD,ATL,0
2023,MAY,26,Friday,American Airlines,MCO,DFW,0
2023,APR,17,Monday,Southwest Airlines,DEN,PHX,1
2022,NOV,30,Wednesday,Spirit Air Lines,DEN,MIA,0
2022,DEC,16,Friday,SkyWest Airlines,ORD,FOD,0
2022,NOV,26,Saturday,JetBlue Airways,HPN,RSW,0
2023,JUL,2,Sunday,Republic Airline,XNA,LGA,1
2022,AUG,3,Wednesday,Republic Airline,ORF,EWR,0
2023,AUG,3,Thursday,Southwest Airlines,ECP,HOU,0
2023,FEB,19,Sunday,PSA Airlines,DCA,PNS,0
2022,NOV,27,Sunday,SkyWest Airlines,GRR,IAH,0
2023,JUL,23,Sunday,American Airlines,SEA,DFW,0
2023,MAR,12,Sunday,SkyWest Airlines,TYS,DEN,0
2022,AUG,23,Tuesday,Delta Air Lines,SEA,ATL,0
2023,JAN,11,Wednesday,American Airlines,ORD,LAX,1
2023,APR,12,Wednesday,Southwest Airlines,MSP,MDW,0
2022,AUG,21,Sunday,Southwest Airlines,BUR,DEN,0
2023,APR,17,Monday,Endeavor Air,CHS,LGA,0
2023,APR,9,Sunday,SkyWest Airlines,JFK,CLE,0
2023,MAR,27,Monday,Southwest Airlines,BNA,IAH,0
2023,JUL,10,Monday,American Airlines,CLE,CLT,0
2022,DEC,29,Thursday,Endeavor Air,CVG,ATL,0
2023,APR,13,Thursday,Delta Air Lines,BUF,ATL,0
2022,SEP,7,Wednesday,Delta Air Lines,ATL,RIC,0
2022,NOV,6,Sunday,Delta Air Lines,SEA,ATL,0
2022,OCT,28,Friday,Alaska Airlines,HNL,PDX,0
2023,AUG,8,Tuesday,Southwest Airlines,ATL,MCI,0
2022,SEP,14,Wednesday,PSA Airlines,ORF,DCA,0
2023,JUN,14,Wednesday,Southwest Airlines,AUS,FLL,0
2023,JUN,12,Monday,Republic Airline,SDF,EWR,0
2022,NOV,24,Thursday,Alaska Airlines,SEA,EWR,0
2022,SEP,8,Thursday,Envoy Air,ORD,MKE,0
2022,NOV,17,Thursday,Southwest Airlines,DEN,DAL,0
2023,MAY,28,Sunday,JetBlue Airways,SRQ,JFK,0
2023,JUL,2,Sunday,American Airlines,EWR,MIA,0
2023,MAY,17,Wednesday,Hawaiian Airlines,OGG,SMF,0
2023,APR,9,Sunday,SkyWest Airlines,DEN,MSO,1
2023,JUL,28,Friday,American Airlines,CLT,CLE,0
2022,SEP,12,Monday,Southwest Airlines,LAX,LAS,0
2023,FEB,26,Sunday,Southwest Airlines,RDU,BNA,1
2022,NOV,6,Sunday,American Airlines,OGG,LAX,0
2022,NOV,11,Friday,American Airlines,DFW,JAX,0
2023,MAR,27,Monday,Envoy Air,LSE,ORD,0
2023,FEB,13,Monday,American Airlines,DFW,HNL,0
2022,NOV,24,Thursday,Delta Air Lines,LAX,ATL,0
2023,JUL,22,Saturday,Endeavor Air,TYS,DTW,0
2023,JUN,17,Saturday,Spirit Air Lines,ATL,FLL,0
2022,AUG,16,Tuesday,Southwest Airlines,SAN,PHX,0
2023,JUN,3,Saturday,SkyWest Airlines,DFW,BTR,0
2023,JAN,27,Friday,Southwest Airlines,PHX,ORD,0
2022,SEP,20,Tuesday,American Airlines,CLT,IAD,0
2023,JUL,23,Sunday,JetBlue Airways,BOS,DTW,0
2023,APR,13,Thursday,Alaska Airlines,GEG,SEA,0
2023,JUL,22,Saturday,SkyWest Airlines,IAD,JFK,0
2023,AUG,6,Sunday,Delta Air Lines,ATL,JFK,0
2023,AUG,1,Tuesday,SkyWest Airlines,SUN,LAX,0
2022,SEP,30,Friday,Republic Airline,DCA,MCI,0
2023,MAY,6,Saturday,American Airlines,MIA,IAH,0
2023,FEB,1,Wednesday,American Airlines,MIA,ORD,0
2023,AUG,24,Thursday,United Air Lines,RSW,EWR,0
2022,OCT,4,Tuesday,Delta Air Lines,DEN,LGA,0
2022,AUG,29,Monday,Alaska Airlines,SEA,ELP,0
2023,JUL,14,Friday,United Air Lines,TPA,ORD,0
2023,MAR,15,Wednesday,Southwest Airlines,GEG,DEN,0
2022,SEP,19,Monday,United Air Lines,IAH,PNS,0
2022,DEC,29,Thursday,Allegiant Air,SFB,GRR,0
2023,MAY,27,Saturday,Southwest Airlines,MDW,MHT,0
2022,DEC,29,Thursday,PSA Airlines,PHL,BDL,1
2022,OCT,15,Saturday,Southwest Airlines,MDW,HOU,0
2023,FEB,2,Thursday,United Air Lines,LAS,EWR,0
2022,AUG,29,Monday,Frontier Airlines,ROC,DEN,0
2023,APR,6,Thursday,American Airlines,PHX,MSN,1
2023,MAR,18,Saturday,Endeavor Air,MSP,ATW,0
2023,MAR,20,Monday,JetBlue Airways,PHL,BOS,0
2022,NOV,17,Thursday,SkyWest Airlines,ELP,DEN,1
2022,NOV,10,Thursday,Spirit Air Lines,LGA,FLL,0
2023,JUN,8,Thursday,American Airlines,SLC,DFW,0
2022,SEP,24,Saturday,Spirit Air Lines,RSW,DTW,0
2023,MAY,5,Friday,American Airlines,PHX,MIA,0
2022,OCT,12,Wednesday,SkyWest Airlines,LAX,TUL,0
2023,MAR,30,Thursday,Republic Airline,BOS,RIC,0
2023,AUG,6,Sunday,Delta Air Lines,MSP,MIA,1
2023,APR,9,Sunday,Southwest Airlines,LAS,IND,1
2022,SEP,2,Friday,SkyWest Airlines,SLC,SUN,0
2023,JAN,26,Thursday,Republic Airline,DCA,PVD,0
2023,MAY,6,Saturday,United Air Lines,SAT,DEN,1
2023,MAY,27,Saturday,American Airlines,CLT,TPA,0
2023,JUL,11,Tuesday,American Airlines,CLT,LGA,0
2023,MAY,8,Monday,Southwest Airlines,PHX,OKC,0
2022,DEC,2,Friday,United Air Lines,ORD,FLL,0
2023,AUG,17,Thursday,United Air Lines,ORD,STL,0
2022,AUG,17,Wednesday,Delta Air Lines,SLC,MEM,0
2023,JAN,13,Friday,United Air Lines,EWR,CLT,0
2022,AUG,18,Thursday,Southwest Airlines,LAX,OAK,0
2023,MAY,30,Tuesday,Delta Air Lines,LEX,ATL,0
2022,AUG,3,Wednesday,JetBlue Airways,BOS,PIT,0
2023,MAR,8,Wednesday,American Airlines,PIT,PHX,0
2023,JUL,31,Monday,American Airlines,CLT,MEM,1
2023,MAY,18,Thursday,Frontier Airlines,RDU,ATL,0
2023,MAY,10,Wednesday,Southwest Airlines,KOA,HNL,0
2022,SEP,29,Thursday,Republic Airline,LGA,PIT,0
2022,NOV,24,Thursday,United Air Lines,LAX,ORD,0
2022,DEC,11,Sunday,Endeavor Air,CHS,JFK,0
2023,MAY,5,Friday,Endeavor Air,JAX,JFK,1
2022,SEP,2,Friday,Hawaiian Airlines,HNL,OGG,0
2023,JAN,30,Monday,Southwest Airlines,PHX,SJC,1
2023,AUG,23,Wednesday,PSA Airlines,CLT,PIA,0
2023,MAR,7,Tuesday,Southwest Airlines,MCI,PHX,1
2023,JAN,15,Sunday,Republic Airline,RDU,DCA,0
2023,MAR,31,Friday,Envoy Air,HSV,DFW,0
2023,JUN,16,Friday,United Air Lines,CLE,IAD,1
2023,JAN,22,Sunday,Frontier Airlines,DEN,DCA,0
2022,SEP,10,Saturday,American Airlines,DFW,BOS,0
2023,MAR,9,Thursday,Delta Air Lines,SAN,SLC,1
2022,OCT,21,Friday,Republic Airline,LGA,DCA,1
2023,MAY,12,Friday,Alaska Airlines,SFO,LAX,0
2022,AUG,5,Friday,Southwest Airlines,AUS,TUL,0
2023,MAR,3,Friday,American Airlines,LAX,ORD,0
2023,JUN,30,Friday,Allegiant Air,CVG,SAV,0
2022,AUG,7,Sunday,Hawaiian Airlines,LIH,HNL,1
2023,MAR,23,Thursday,Envoy Air,AGS,CLT,1
2023,MAR,21,Tuesday,Southwest Airlines,DAL,LBB,1
2023,JAN,15,Sunday,SkyWest Airlines,STS,PDX,1
2022,DEC,24,Saturday,Southwest Airlines,PSP,DEN,1
2022,SEP,1,Thursday,Southwest Airlines,MEM,ATL,1
2023,APR,9,Sunday,Southwest Airlines,TPA,HOU,1
2022,DEC,1,Thursday,Delta Air Lines,MSY,LAX,0
2023,FEB,9,Thursday,Alaska Airlines,OAK,PDX,0
2023,MAY,12,Friday,Delta Air Lines,MSP,RSW,0
2022,DEC,24,Saturday,Envoy Air,ORD,STL,1
2022,NOV,4,Friday,Delta Air Lines,LAX,ATL,0
2023,MAR,17,Friday,SkyWest Airlines,SFO,PSP,0
2022,SEP,16,Friday,SkyWest Airlines,ONT,SLC,0
2022,DEC,31,Saturday,American Airlines,DFW,DSM,0
2022,AUG,31,Wednesday,Delta Air Lines,ANC,SEA,0
2022,OCT,19,Wednesday,American Airlines,AUS,CLT,0
2023,APR,10,Monday,Spirit Air Lines,MCO,BWI,1
2023,FEB,14,Tuesday,SkyWest Airlines,DEN,MKE,1
2022,NOV,27,Sunday,Endeavor Air,LGA,STL,0
2022,DEC,28,Wednesday,American Airlines,SAN,DFW,0
2023,FEB,10,Friday,Republic Airline,DCA,SDF,0
2023,JUN,26,Monday,SkyWest Airlines,PDX,SBP,0
2022,NOV,17,Thursday,United Air Lines,DEN,EUG,0
2023,FEB,19,Sunday,Alaska Airlines,PDX,RNO,0
2022,DEC,18,Sunday,Delta Air Lines,AUS,ATL,0
2022,DEC,12,Monday,JetBlue Airways,TPA,LGA,0
2023,FEB,20,Monday,SkyWest Airlines,SNA,STS,0
2023,JUN,6,Tuesday,PSA Airlines,BHM,PHL,0
2023,MAY,8,Monday,Frontier Airlines,PHL,MCO,0
2023,JUL,1,Saturday,Frontier Airlines,MCO,SJU,1
2022,SEP,27,Tuesday,Mesa Airlines,PHX,EUG,0
2023,JUN,14,Wednesday,Delta Air Lines,MKE,DTW,1
2022,NOV,1,Tuesday,Envoy Air,ORD,MHK,0
2023,JUN,26,Monday,Envoy Air,BTR,DFW,0
2022,NOV,28,Monday,Southwest Airlines,LAS,SJC,1
2023,JUN,5,Monday,American Airlines,MIA,PHL,0
2023,JUL,1,Saturday,SkyWest Airlines,FAR,DEN,0
2022,NOV,13,Sunday,Allegiant Air,PIE,AVL,0
2022,AUG,9,Tuesday,Southwest Airlines,SJC,LAS,0
2023,JUN,6,Tuesday,Delta Air Lines,SYR,ATL,0
2022,SEP,24,Saturday,SkyWest Airlines,OMA,LAX,0
2023,JUL,22,Saturday,Southwest Airlines,BHM,TPA,0
2022,NOV,19,Saturday,Spirit Air Lines,FLL,LGA,1
2023,FEB,11,Saturday,Envoy Air,DFW,BIL,0
2023,AUG,4,Friday,Envoy Air,FSM,DFW,0
2023,MAY,19,Friday,Southwest Airlines,OMA,MCO,0
2023,MAR,17,Friday,Southwest Airlines,MSY,MCO,0
2022,DEC,19,Monday,American Airlines,SRQ,ORD,0
2022,AUG,31,Wednesday,Spirit Air Lines,BWI,TPA,0
2022,NOV,7,Monday,Spirit Air Lines,PDX,LAS,0
2023,AUG,24,Thursday,JetBlue Airways,BOS,TPA,0
2023,JUL,22,Saturday,Endeavor Air,JFK,ITH,0
2023,JUL,11,Tuesday,Republic Airline,SDF,ORD,0
2023,FEB,17,Friday,American Airlines,PHL,BOS,0
2022,NOV,14,Monday,Southwest Airlines,BWI,AUS,0
2022,SEP,29,Thursday,United Air Lines,LAS,SFO,0
2023,APR,22,Saturday,Delta Air Lines,ATL,OKC,0
2023,JUL,19,Wednesday,Southwest Airlines,MDW,IAD,0
2022,AUG,19,Friday,Republic Airline,CMH,EWR,0
2022,DEC,31,Saturday,American Airlines,MIA,MCO,0
2023,APR,29,Saturday,Southwest Airlines,BWI,CLT,0
2023,JAN,19,Thursday,Endeavor Air,BUF,JFK,0
2022,SEP,16,Friday,Endeavor Air,LGA,MCI,0
2023,JUN,11,Sunday,Republic Airline,BHM,LGA,0
2023,JUN,16,Friday,JetBlue Airways,PBI,DCA,1
2023,AUG,23,Wednesday,PSA Airlines,ALB,DCA,0
2023,MAY,8,Monday,Southwest Airlines,LAS,PHX,1
2023,AUG,30,Wednesday,Southwest Airlines,ABQ,LAS,0
2023,AUG,3,Thursday,JetBlue Airways,LGA,MVY,0
2023,JUN,25,Sunday,American Airlines,DCA,DFW,1
2023,APR,13,Thursday,Southwest Airlines,IND,BWI,0
2023,JUN,20,Tuesday,American Airlines,EGE,DFW,0
2022,NOV,18,Friday,American Airlines,JFK,MIA,0
2023,JUL,27,Thursday,Southwest Airlines,OGG,HNL,0
2023,AUG,11,Friday,Republic Airline,BOS,LGA,0
2023,JUN,24,Saturday,Republic Airline,LGA,PNS,0
2023,MAY,28,Sunday,Southwest Airlines,STL,ATL,0
2022,SEP,17,Saturday,United Air Lines,MCI,ORD,1
2022,DEC,24,Saturday,SkyWest Airlines,ATL,LFT,1
2022,OCT,11,Tuesday,Southwest Airlines,BZN,DEN,0
2023,MAY,30,Tuesday,United Air Lines,IAH,SFO,0
2023,AUG,12,Saturday,Southwest Airlines,CMH,TPA,0
2022,DEC,8,Thursday,Delta Air Lines,ATL,ECP,0
2023,JUL,23,Sunday,American Airlines,CLT,LGA,0
2023,JUN,14,Wednesday,Republic Airline,CMH,LGA,1
2023,MAR,23,Thursday,SkyWest Airlines,BHM,ORD,1
2023,MAY,19,Friday,American Airlines,ORD,PHX,0
2023,MAR,4,Saturday,American Airlines,DEN,DFW,0
2023,AUG,13,Sunday,United Air Lines,EWR,ORD,0
2023,JUL,4,Tuesday,Southwest Airlines,DAL,LIT,0
2023,AUG,29,Tuesday,Delta Air Lines,PNS,ATL,0
2023,FEB,25,Saturday,JetBlue Airways,RDU,JFK,1
2023,APR,9,Sunday,SkyWest Airlines,ACV,SFO,0
2023,JUN,13,Tuesday,Delta Air Lines,LAX,MCO,0
2023,MAY,2,Tuesday,Southwest Airlines,HOU,LAX,0
2022,DEC,2,Friday,United Air Lines,IAH,ORF,0
2023,JUL,30,Sunday,United Air Lines,ORD,SLC,1
2022,AUG,19,Friday,Endeavor Air,TYS,LGA,0
2023,JUL,10,Monday,American Airlines,MSY,MIA,0
2023,APR,20,Thursday,SkyWest Airlines,SMF,LAX,0
2023,MAR,1,Wednesday,SkyWest Airlines,MLI,DEN,0
2023,JAN,5,Thursday,Alaska Airlines,BOI,SEA,0
2023,FEB,16,Thursday,Republic Airline,XNA,LGA,0
2023,JAN,6,Friday,American Airlines,CLT,SAN,0
2022,AUG,8,Monday,American Airlines,BZN,DFW,0
2023,JUL,25,Tuesday,Southwest Airlines,IND,TPA,1
2022,DEC,9,Friday,Delta Air Lines,ATL,HOU,0
2022,SEP,14,Wednesday,United Air Lines,ATL,DEN,0
2023,JUL,17,Monday,Southwest Airlines,ATL,IAD,0
2023,MAY,31,Wednesday,American Airlines,BOS,PHL,0
2023,AUG,4,Friday,Delta Air Lines,MSP,MEM,0
2023,JAN,16,Monday,SkyWest Airlines,SLC,OAK,0
2023,JUL,8,Saturday,JetBlue Airways,JFK,JAX,1
2023,AUG,14,Monday,SkyWest Airlines,DEN,TUS,0
2022,SEP,11,Sunday,Delta Air Lines,JFK,LAS,0
2023,AUG,6,Sunday,United Air Lines,DEN,IAH,0
2022,DEC,26,Monday,American Airlines,DCA,ATL,0
2022,SEP,15,Thursday,Spirit Air Lines,FLL,CLT,1
2023,JUL,22,Saturday,JetBlue Airways,FLL,ORH,0
2022,DEC,11,Sunday,PSA Airlines,DTW,PHL,0
2022,DEC,24,Saturday,Delta Air Lines,JFK,LAX,1
2022,NOV,12,Saturday,Delta Air Lines,DTW,FLL,1
2022,AUG,21,Sunday,SkyWest Airlines,DTW,RIC,0
2022,SEP,17,Saturday,Southwest Airlines,SAN,OAK,0
2023,MAY,4,Thursday,United Air Lines,MCI,ORD,0
2023,APR,19,Wednesday,JetBlue Airways,JFK,ATL,0
2023,APR,23,Sunday,Republic Airline,SAV,ORD,0
2022,OCT,26,Wednesday,American Airlines,JAX,CLT,0
2022,SEP,1,Thursday,Southwest Airlines,AUS,ELP,0
2023,JUL,6,Thursday,Envoy Air,COU,ORD,0
2022,OCT,12,Wednesday,Southwest Airlines,LAX,SFO,0
2023,MAY,27,Saturday,Southwest Airlines,TPA,PIT,1
2022,SEP,26,Monday,United Air Lines,PDX,DEN,0
2023,JUL,30,Sunday,Republic Airline,BGR,PHL,0
2023,JAN,2,Monday,United Air Lines,DEN,ORD,1
2023,JUN,23,Friday,Frontier Airlines,PHL,MYR,1
2022,DEC,9,Friday,JetBlue Airways,JFK,BNA,0
2022,DEC,7,Wednesday,Republic Airline,PHL,DCA,1
2023,JUN,22,Thursday,Frontier Airlines,MIA,BWI,0
2023,MAY,7,Sunday,Southwest Airlines,HNL,OAK,0
2022,OCT,15,Saturday,Spirit Air Lines,LAX,ORD,0
2022,SEP,14,Wednesday,American Airlines,CLT,CHS,0
2023,MAY,14,Sunday,PSA Airlines,CLT,LFT,0
2023,APR,12,Wednesday,SkyWest Airlines,LAX,SMF,0
2022,AUG,3,Wednesday,American Airlines,CLT,JAX,0
2022,OCT,15,Saturday,SkyWest Airlines,EUG,SEA,0
2023,JUN,18,Sunday,Delta Air Lines,DTW,MSP,0
2023,MAR,8,Wednesday,Delta Air Lines,SLC,LAS,0
2023,FEB,1,Wednesday,SkyWest Airlines,SLC,SGU,0
2023,JAN,21,Saturday,PSA Airlines,STL,CLT,0
2023,AUG,23,Wednesday,United Air Lines,ORD,EWR,0
2023,APR,29,Saturday,Southwest Airlines,MCO,MDW,1
2022,AUG,28,Sunday,American Airlines,CLT,ALB,0
2022,DEC,13,Tuesday,SkyWest Airlines,ATL,BMI,0
2022,NOV,2,Wednesday,Southwest Airlines,HOU,FLL,0
2022,OCT,28,Friday,Endeavor Air,CWA,MSP,0
2023,MAY,1,Monday,Envoy Air,DFW,ABI,0
2023,JUL,5,Wednesday,Endeavor Air,MSP,FSD,0
2022,DEC,13,Tuesday,Delta Air Lines,GSP,ATL,0
2023,MAR,2,Thursday,SkyWest Airlines,DEN,BIS,0
2023,MAY,22,Monday,American Airlines,EWR,PHX,0
2022,DEC,18,Sunday,Southwest Airlines,ONT,SJC,0
2023,JUN,27,Tuesday,Delta Air Lines,PHL,ATL,0
2022,OCT,25,Tuesday,Delta Air Lines,ATL,SLC,0
2023,JUN,27,Tuesday,Southwest Airlines,BNA,MSY,1
2022,AUG,21,Sunday,JetBlue Airways,SFO,BOS,1
2023,MAY,19,Friday,Delta Air Lines,ATL,SLC,0
2022,AUG,16,Tuesday,Delta Air Lines,ATL,MLB,0
2023,JAN,26,Thursday,American Airlines,LAX,DFW,0
2022,NOV,29,Tuesday,Southwest Airlines,LGA,MDW,0
2023,AUG,10,Thursday,United Air Lines,TUL,DEN,0
2023,JUN,25,Sunday,SkyWest Airlines,SLC,OMA,0
2023,APR,16,Sunday,United Air Lines,PBI,EWR,1
2022,OCT,23,Sunday,American Airlines,DFW,LAX,0
2023,JUN,5,Monday,American Airlines,DCA,DFW,1
2022,SEP,8,Thursday,Spirit Air Lines,SLC,MCO,0
2023,MAY,31,Wednesday,Endeavor Air,JFK,PWM,0
