YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,DEP_DEL15,ARR_DEL15
2022,AUG,18,Thursday,Delta Air Lines,ATL,"Atlanta, GA",BHM,"Birmingham, AL",0,0
2023,JUL,8,Saturday,American Airlines,FLL,"Fort Lauderdale, FL",CLT,"Charlotte, NC",1,1
2023,JUL,15,Saturday,Southwest Airlines,CVG,"Cincinnati, OH",MDW,"Chicago, IL",1,1
2023,JUN,19,Monday,Delta Air Lines,DFW,"Dallas/Fort Worth, TX",MSP,"Minneapolis, MN",0,0
2023,AUG,12,Saturday,SkyWest Airlines,COS,"Colorado Springs, CO",DEN,"Denver, CO",0,0
2022,DEC,21,Wednesday,Envoy Air,MHK,"Manhattan/Ft. Riley, KS",ORD,"Chicago, IL",0,1
2023,JUN,19,Monday,JetBlue Airways,ATL,"Atlanta, GA",FLL,"Fort Lauderdale, FL",0,0
2023,JUL,20,Thursday,Delta Air Lines,IAH,"Houston, TX",LGA,"New York, NY",0,0
2023,FEB,15,Wednesday,SkyWest Airlines,GEG,"Spokane, WA",SEA,"Seattle, WA",0,0
2022,OCT,7,Friday,Southwest Airlines,DAL,"Dallas, TX",IAH,"Houston, TX",0,0
2022,DEC,18,Sunday,Delta Air Lines,CVG,"Cincinnati, OH",SLC,"Salt Lake City, UT",0,1
2022,SEP,16,Friday,Horizon Air,SAN,"San Diego, CA",PAE,"Everett, WA",0,0
2023,APR,19,Wednesday,Southwest Airlines,LAS,"Las Vegas, NV",LAX,"Los Angeles, CA",0,0
2023,MAR,23,Thursday,Delta Air Lines,SLC,"Salt Lake City, UT",BNA,"Nashville, TN",0,0
2023,FEB,17,Friday,Alaska Airlines,SEA,"Seattle, WA",SJC,"San Jose, CA",0,0
2022,SEP,23,Friday,Southwest Airlines,TPA,"Tampa, FL",DEN,"Denver, CO",0,0
2022,OCT,5,Wednesday,SkyWest Airlines,MSP,"Minneapolis, MN",INL,"International Falls, MN",0,0
2022,AUG,7,Sunday,SkyWest Airlines,MKG,"Muskegon, MI",ORD,"Chicago, IL",1,1
2023,MAR,12,Sunday,American Airlines,DFW,"Dallas/Fort Worth, TX",SMF,"Sacramento, CA",1,1
