YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,DEP_DEL15,ARR_DEL15
2023,JUN,18,Sunday,Southwest Airlines,SJC,"San Jose, CA",DEN,"Denver, CO",0,0
2023,JAN,27,Friday,Spirit Air Lines,LAS,"Las Vegas, NV",AUS,"Austin, TX",0,0
2022,OCT,8,Saturday,American Airlines,PIT,"Pittsburgh, PA",ORD,"Chicago, IL",0,0
2022,AUG,22,Monday,Delta Air Lines,ATL,"Atlanta, GA",SLC,"Salt Lake City, UT",0,0
2023,APR,7,Friday,Southwest Airlines,ATL,"Atlanta, GA",RIC,"Richmond, VA",0,0
2022,AUG,30,Tuesday,American Airlines,DFW,"Dallas/Fort Worth, TX",OMA,"Omaha, NE",1,1
2022,OCT,30,Sunday,SkyWest Airlines,LGA,"New York, NY",ORD,"Chicago, IL",0,0
2022,SEP,11,Sunday,United Air Lines,ORD,"Chicago, IL",MSN,"Madison, WI",0,0
2023,MAR,20,Monday,Southwest Airlines,RNO,"Reno, NV",SAN,"San Diego, CA",0,0
2022,NOV,16,Wednesday,Alaska Airlines,SEA,"Seattle, WA",ANC,"Anchorage, AK",0,0
2023,APR,5,Wednesday,United Air Lines,PDX,"Portland, OR",DEN,"Denver, CO",0,0
2023,AUG,30,Wednesday,Southwest Airlines,BWI,"Baltimore, MD",ORD,"Chicago, IL",1,1
2023,MAR,6,Monday,Southwest Airlines,BNA,"Nashville, TN",PIT,"Pittsburgh, PA",0,0
2023,AUG,3,Thursday,SkyWest Airlines,DFW,"Dallas/Fort Worth, TX",AEX,"Alexandria, LA",1,1
2023,APR,7,Friday,Republic Airline,IND,"Indianapolis, IN",BOS,"Boston, MA",0,0
2023,JUL,31,Monday,Delta Air Lines,EWR,"Newark, NJ",DTW,"Detroit, MI",0,0
2022,AUG,23,Tuesday,United Air Lines,SFO,"San Francisco, CA",EWR,"Newark, NJ",0,1
2023,MAY,18,Thursday,Delta Air Lines,DTW,"Detroit, MI",SAT,"San Antonio, TX",0,0
2023,AUG,27,Sunday,Republic Airline,STL,"St. Louis, MO",ORD,"Chicago, IL",0,0
2022,OCT,25,Tuesday,Delta Air Lines,BWI,"Baltimore, MD",ATL,"Atlanta, GA",0,0
2023,APR,23,Sunday,SkyWest Airlines,PWM,"Portland, ME",ORD,"Chicago, IL",0,0
2022,SEP,24,Saturday,Southwest Airlines,BUR,"Burbank, CA",PHX,"Phoenix, AZ",1,0
2023,FEB,2,Thursday,PSA Airlines,DCA,"Washington, DC",ALB,"Albany, NY",0,0
2022,SEP,3,Saturday,American Airlines,BZN,"Bozeman, MT",DFW,"Dallas/Fort Worth, TX",0,0
2023,FEB,27,Monday,Spirit Air Lines,IND,"Indianapolis, IN",MCO,"Orlando, FL",0,0
2022,DEC,4,Sunday,Spirit Air Lines,ATL,"Atlanta, GA",BWI,"Baltimore, MD",1,1
2022,OCT,17,Monday,Delta Air Lines,MIA,"Miami, FL",ATL,"Atlanta, GA",0,0
2022,SEP,26,Monday,Endeavor Air,ATL,"Atlanta, GA",ABY,"Albany, GA",0,0
2022,NOV,7,Monday,Frontier Airlines,MCO,"Orlando, FL",ISP,"Islip, NY",0,0
2023,FEB,11,Saturday,SkyWest Airlines,PHX,"Phoenix, AZ",SFO,"San Francisco, CA",0,0
2023,FEB,2,Thursday,Spirit Air Lines,MIA,"Miami, FL",DFW,"Dallas/Fort Worth, TX",1,1
2022,NOV,3,Thursday,Southwest Airlines,BUR,"Burbank, CA",SMF,"Sacramento, CA",0,0
2023,MAY,21,Sunday,JetBlue Airways,LAX,"Los Angeles, CA",SFO,"San Francisco, CA",1,0
2023,JUL,8,Saturday,Allegiant Air,FNT,"Flint, MI",SFB,"Sanford, FL",0,0
2022,OCT,5,Wednesday,American Airlines,EWR,"Newark, NJ",MIA,"Miami, FL",0,0
2022,OCT,28,Friday,Republic Airline,IND,"Indianapolis, IN",EWR,"Newark, NJ",0,0
2023,JUN,22,Thursday,Southwest Airlines,CLT,"Charlotte, NC",BWI,"Baltimore, MD",1,1
2022,OCT,3,Monday,Delta Air Lines,BNA,"Nashville, TN",SLC,"Salt Lake City, UT",0,0
2022,AUG,7,Sunday,American Airlines,TPA,"Tampa, FL",PHL,"Philadelphia, PA",0,0
2023,AUG,20,Sunday,SkyWest Airlines,HPN,"White Plains, NY",ORD,"Chicago, IL",0,0
2023,JUN,14,Wednesday,Spirit Air Lines,MSY,"New Orleans, LA",LAX,"Los Angeles, CA",0,0
2022,AUG,15,Monday,Alaska Airlines,SEA,"Seattle, WA",IND,"Indianapolis, IN",0,0
2022,AUG,3,Wednesday,Endeavor Air,PWM,"Portland, ME",LGA,"New York, NY",0,0
2023,JUN,12,Monday,American Airlines,CLT,"Charlotte, NC",PHL,"Philadelphia, PA",1,1
2023,MAR,21,Tuesday,American Airlines,LAX,"Los Angeles, CA",AUS,"Austin, TX",0,0
2022,AUG,22,Monday,Alaska Airlines,ANC,"Anchorage, AK",SEA,"Seattle, WA",0,0
2023,AUG,17,Thursday,Southwest Airlines,PHX,"Phoenix, AZ",LAS,"Las Vegas, NV",1,1
2023,APR,12,Wednesday,JetBlue Airways,RSW,"Fort Myers, FL",EWR,"Newark, NJ",1,1
2022,AUG,11,Thursday,Endeavor Air,GSO,"Greensboro/High Point, NC",DTW,"Detroit, MI",0,0
2023,AUG,22,Tuesday,Southwest Airlines,ABQ,"Albuquerque, NM",AUS,"Austin, TX",0,0
2023,JUL,17,Monday,Southwest Airlines,CHS,"Charleston, SC",AUS,"Austin, TX",0,0
2023,JUN,3,Saturday,SkyWest Airlines,DEN,"Denver, CO",LBL,"Liberal, KS",0,0
2023,JUN,9,Friday,United Air Lines,LIH,"Lihue, HI",DEN,"Denver, CO",1,1
2023,APR,3,Monday,Envoy Air,AUS,"Austin, TX",RNO,"Reno, NV",0,0
2023,JUL,31,Monday,Southwest Airlines,AUS,"Austin, TX",FLL,"Fort Lauderdale, FL",1,1
2022,OCT,25,Tuesday,Southwest Airlines,DEN,"Denver, CO",LAX,"Los Angeles, CA",0,0
2022,NOV,22,Tuesday,Alaska Airlines,EWR,"Newark, NJ",LAX,"Los Angeles, CA",1,1
2023,JUL,1,Saturday,Delta Air Lines,DEN,"Denver, CO",ATL,"Atlanta, GA",0,0
2023,AUG,13,Sunday,Southwest Airlines,STL,"St. Louis, MO",PHL,"Philadelphia, PA",0,0
2023,MAR,5,Sunday,JetBlue Airways,JFK,"New York, NY",SAV,"Savannah, GA",1,1
2023,MAR,16,Thursday,Southwest Airlines,PDX,"Portland, OR",LAS,"Las Vegas, NV",0,0
2023,MAY,19,Friday,Southwest Airlines,AUS,"Austin, TX",STL,"St. Louis, MO",0,0
2022,AUG,24,Wednesday,Alaska Airlines,MSP,"Minneapolis, MN",SEA,"Seattle, WA",0,0
2023,APR,28,Friday,Delta Air Lines,SLC,"Salt Lake City, UT",MIA,"Miami, FL",0,0
2023,JUN,2,Friday,Alaska Airlines,HNL,"Honolulu, HI",SEA,"Seattle, WA",0,0
2023,JUL,25,Tuesday,Envoy Air,SGF,"Springfield, MO",DFW,"Dallas/Fort Worth, TX",1,1
2023,JUL,3,Monday,Southwest Airlines,MDW,"Chicago, IL",OMA,"Omaha, NE",0,0
2022,SEP,27,Tuesday,Envoy Air,AVP,"Scranton/Wilkes-Barre, PA",ORD,"Chicago, IL",0,0
2023,JUL,3,Monday,Southwest Airlines,BWI,"Baltimore, MD",ATL,"Atlanta, GA",0,0
2023,MAY,20,Saturday,Republic Airline,EWR,"Newark, NJ",DFW,"Dallas/Fort Worth, TX",0,0
2023,MAY,6,Saturday,Delta Air Lines,PHX,"Phoenix, AZ",ATL,"Atlanta, GA",0,0
2023,FEB,20,Monday,Southwest Airlines,SLC,"Salt Lake City, UT",PHX,"Phoenix, AZ",0,0
2022,SEP,15,Thursday,PSA Airlines,XNA,"Fayetteville, AR",CLT,"Charlotte, NC",0,0
2022,AUG,2,Tuesday,United Air Lines,IAH,"Houston, TX",LAX,"Los Angeles, CA",1,0
2022,NOV,21,Monday,SkyWest Airlines,ATL,"Atlanta, GA",BMI,"Bloomington/Normal, IL",0,0
2023,MAR,2,Thursday,United Air Lines,SLC,"Salt Lake City, UT",DEN,"Denver, CO",0,0
2022,DEC,18,Sunday,Delta Air Lines,MSP,"Minneapolis, MN",MCI,"Kansas City, MO",0,0
2022,AUG,28,Sunday,SkyWest Airlines,SLC,"Salt Lake City, UT",PHX,"Phoenix, AZ",0,0
2023,MAY,7,Sunday,Envoy Air,HHH,"Hilton Head, SC",CLT,"Charlotte, NC",1,0
2023,AUG,23,Wednesday,Republic Airline,LGA,"New York, NY",BOS,"Boston, MA",0,0
2023,APR,23,Sunday,Southwest Airlines,PHX,"Phoenix, AZ",BOI,"Boise, ID",1,1
2023,AUG,1,Tuesday,Republic Airline,BOS,"Boston, MA",MEM,"Memphis, TN",0,0
2023,AUG,18,Friday,Southwest Airlines,STL,"St. Louis, MO",MCI,"Kansas City, MO",0,0
2023,MAR,21,Tuesday,Delta Air Lines,MEM,"Memphis, TN",ATL,"Atlanta, GA",1,1
2023,APR,8,Saturday,American Airlines,LAX,"Los Angeles, CA",MIA,"Miami, FL",0,0
2023,MAY,10,Wednesday,American Airlines,MKE,"Milwaukee, WI",CLT,"Charlotte, NC",0,0
2023,JAN,31,Tuesday,Southwest Airlines,DEN,"Denver, CO",ATL,"Atlanta, GA",0,0
2023,MAR,29,Wednesday,JetBlue Airways,JFK,"New York, NY",FLL,"Fort Lauderdale, FL",0,0
2022,SEP,16,Friday,Horizon Air,BLI,"Bellingham, WA",SEA,"Seattle, WA",0,0
2023,MAR,30,Thursday,Southwest Airlines,LAX,"Los Angeles, CA",SFO,"San Francisco, CA",0,0
2023,AUG,17,Thursday,Endeavor Air,JFK,"New York, NY",RDU,"Raleigh/Durham, NC",1,1
2023,APR,22,Saturday,Southwest Airlines,MDW,"Chicago, IL",SAN,"San Diego, CA",1,1
2022,AUG,29,Monday,JetBlue Airways,LGA,"New York, NY",BOS,"Boston, MA",0,0
2022,OCT,31,Monday,American Airlines,TPA,"Tampa, FL",CLT,"Charlotte, NC",0,0
2022,NOV,2,Wednesday,Delta Air Lines,MSP,"Minneapolis, MN",DTW,"Detroit, MI",0,0
2022,SEP,15,Thursday,JetBlue Airways,LGA,"New York, NY",MSY,"New Orleans, LA",1,1
2022,OCT,28,Friday,Delta Air Lines,ATL,"Atlanta, GA",PDX,"Portland, OR",0,0
2023,MAY,17,Wednesday,Endeavor Air,AGS,"Augusta, GA",ATL,"Atlanta, GA",0,0
2023,AUG,18,Friday,Southwest Airlines,SJC,"San Jose, CA",LAS,"Las Vegas, NV",0,0
2023,MAR,30,Thursday,American Airlines,RDU,"Raleigh/Durham, NC",DCA,"Washington, DC",0,1
2022,OCT,28,Friday,Delta Air Lines,MSP,"Minneapolis, MN",BWI,"Baltimore, MD",0,0
2023,MAY,15,Monday,Delta Air Lines,BOS,"Boston, MA",ATL,"Atlanta, GA",0,0
2022,NOV,22,Tuesday,Southwest Airlines,OAK,"Oakland, CA",SNA,"Santa Ana, CA",0,0
2022,NOV,26,Saturday,American Airlines,ORD,"Chicago, IL",EWR,"Newark, NJ",1,1
2023,JUL,7,Friday,SkyWest Airlines,PHX,"Phoenix, AZ",SFO,"San Francisco, CA",0,0
2022,NOV,6,Sunday,Southwest Airlines,LAX,"Los Angeles, CA",OAK,"Oakland, CA",0,0
2023,JUN,19,Monday,United Air Lines,DEN,"Denver, CO",MFR,"Medford, OR",0,0
2023,JUN,22,Thursday,SkyWest Airlines,SBN,"South Bend, IN",ORD,"Chicago, IL",0,0
2023,AUG,2,Wednesday,Delta Air Lines,ATL,"Atlanta, GA",BWI,"Baltimore, MD",1,1
2022,AUG,28,Sunday,Delta Air Lines,JFK,"New York, NY",DEN,"Denver, CO",0,0
2023,MAR,12,Sunday,SkyWest Airlines,TYR,"Tyler, TX",DFW,"Dallas/Fort Worth, TX",0,0
2022,OCT,24,Monday,American Airlines,CLT,"Charlotte, NC",MDT,"Harrisburg, PA",0,0
2022,SEP,12,Monday,American Airlines,RSW,"Fort Myers, FL",DFW,"Dallas/Fort Worth, TX",0,0
2022,NOV,16,Wednesday,PSA Airlines,DCA,"Washington, DC",MSY,"New Orleans, LA",0,0
2022,DEC,5,Monday,United Air Lines,ORD,"Chicago, IL",DCA,"Washington, DC",0,0
2022,SEP,6,Tuesday,Southwest Airlines,FLL,"Fort Lauderdale, FL",HOU,"Houston, TX",0,0
2022,NOV,20,Sunday,Delta Air Lines,DTW,"Detroit, MI",MSP,"Minneapolis, MN",1,0
2022,DEC,1,Thursday,SkyWest Airlines,GSP,"Greer, SC",IAH,"Houston, TX",0,0
2023,JAN,3,Tuesday,JetBlue Airways,FLL,"Fort Lauderdale, FL",PVD,"Providence, RI",1,1
2023,AUG,27,Sunday,Delta Air Lines,CMH,"Columbus, OH",ATL,"Atlanta, GA",0,0
2023,MAY,17,Wednesday,JetBlue Airways,SJU,"San Juan, PR",JFK,"New York, NY",1,1
2022,AUG,30,Tuesday,Delta Air Lines,MSY,"New Orleans, LA",LAX,"Los Angeles, CA",0,0
2022,DEC,18,Sunday,United Air Lines,AUS,"Austin, TX",ORD,"Chicago, IL",0,0
2023,APR,23,Sunday,Alaska Airlines,JFK,"New York, NY",SFO,"San Francisco, CA",0,0
2022,SEP,1,Thursday,Allegiant Air,PIE,"St. Petersburg, FL",IAG,"Niagara Falls, NY",0,0
2023,FEB,14,Tuesday,American Airlines,DFW,"Dallas/Fort Worth, TX",AUS,"Austin, TX",0,0
2022,SEP,26,Monday,SkyWest Airlines,ABR,"Aberdeen, SD",MSP,"Minneapolis, MN",0,0
2023,JUN,24,Saturday,Southwest Airlines,SLC,"Salt Lake City, UT",BUR,"Burbank, CA",0,0
2023,MAY,23,Tuesday,SkyWest Airlines,LAX,"Los Angeles, CA",SMF,"Sacramento, CA",0,0
2023,MAY,14,Sunday,American Airlines,TPA,"Tampa, FL",DCA,"Washington, DC",0,0
2022,DEC,1,Thursday,SkyWest Airlines,SFO,"San Francisco, CA",RNO,"Reno, NV",0,0
2022,OCT,20,Thursday,Southwest Airlines,HOU,"Houston, TX",BWI,"Baltimore, MD",0,0
2023,JAN,31,Tuesday,United Air Lines,SAT,"San Antonio, TX",EWR,"Newark, NJ",0,0
2023,JAN,6,Friday,American Airlines,MIA,"Miami, FL",LAX,"Los Angeles, CA",1,1
2023,JUN,1,Thursday,Republic Airline,DCA,"Washington, DC",BOS,"Boston, MA",0,0
2023,JUL,12,Wednesday,United Air Lines,ORF,"Norfolk, VA",ORD,"Chicago, IL",0,1
2022,AUG,14,Sunday,PSA Airlines,ORF,"Norfolk, VA",CLT,"Charlotte, NC",0,0
2022,AUG,24,Wednesday,United Air Lines,IAH,"Houston, TX",EWR,"Newark, NJ",1,1
2023,MAR,29,Wednesday,Delta Air Lines,ATL,"Atlanta, GA",DEN,"Denver, CO",0,0
2023,MAY,5,Friday,Delta Air Lines,MCO,"Orlando, FL",JFK,"New York, NY",0,0
2022,NOV,13,Sunday,Southwest Airlines,DEN,"Denver, CO",LAX,"Los Angeles, CA",0,0
2023,MAR,18,Saturday,PSA Airlines,CLT,"Charlotte, NC",SBN,"South Bend, IN",0,0
2022,DEC,18,Sunday,Southwest Airlines,SNA,"Santa Ana, CA",DEN,"Denver, CO",1,0
2023,MAY,24,Wednesday,United Air Lines,MCO,"Orlando, FL",EWR,"Newark, NJ",0,1
2023,JAN,24,Tuesday,United Air Lines,IAH,"Houston, TX",ICT,"Wichita, KS",1,1
2023,MAR,19,Sunday,Southwest Airlines,DEN,"Denver, CO",MSY,"New Orleans, LA",1,1
2023,MAY,4,Thursday,United Air Lines,IAH,"Houston, TX",LGA,"New York, NY",0,0
2022,NOV,13,Sunday,Delta Air Lines,MSP,"Minneapolis, MN",SLC,"Salt Lake City, UT",0,0
2023,APR,7,Friday,American Airlines,LAX,"Los Angeles, CA",MCO,"Orlando, FL",0,0
2022,SEP,11,Sunday,Delta Air Lines,EWR,"Newark, NJ",ATL,"Atlanta, GA",1,1
2022,DEC,4,Sunday,Republic Airline,JFK,"New York, NY",RDU,"Raleigh/Durham, NC",0,0
2023,APR,2,Sunday,Delta Air Lines,SLC,"Salt Lake City, UT",CLT,"Charlotte, NC",0,0
2022,SEP,26,Monday,Alaska Airlines,KOA,"Kona, HI",SEA,"Seattle, WA",0,0
2023,MAY,24,Wednesday,Delta Air Lines,DTW,"Detroit, MI",TVC,"Traverse City, MI",1,1
2023,JUL,8,Saturday,Envoy Air,TLH,"Tallahassee, FL",MIA,"Miami, FL",0,1
2023,JUL,9,Sunday,Southwest Airlines,DEN,"Denver, CO",LIT,"Little Rock, AR",1,0
2022,DEC,16,Friday,Southwest Airlines,BWI,"Baltimore, MD",CMH,"Columbus, OH",0,0
2023,JAN,13,Friday,United Air Lines,DEN,"Denver, CO",MSN,"Madison, WI",0,1
2023,JAN,13,Friday,JetBlue Airways,SFO,"San Francisco, CA",BOS,"Boston, MA",0,1
2022,DEC,27,Tuesday,Alaska Airlines,PDX,"Portland, OR",SAN,"San Diego, CA",0,0
2023,MAY,23,Tuesday,Delta Air Lines,ATL,"Atlanta, GA",TPA,"Tampa, FL",0,0
2022,AUG,5,Friday,United Air Lines,BWI,"Baltimore, MD",SFO,"San Francisco, CA",0,0
2023,MAY,10,Wednesday,Republic Airline,ORD,"Chicago, IL",TVC,"Traverse City, MI",0,0
2023,FEB,26,Sunday,Republic Airline,STL,"St. Louis, MO",BOS,"Boston, MA",0,0
2022,NOV,25,Friday,JetBlue Airways,SAV,"Savannah, GA",BOS,"Boston, MA",1,1
2023,JUN,21,Wednesday,SkyWest Airlines,ELP,"El Paso, TX",LAX,"Los Angeles, CA",0,0
2023,MAY,5,Friday,Allegiant Air,AUS,"Austin, TX",CVG,"Cincinnati, OH",0,0
2023,FEB,2,Thursday,Spirit Air Lines,LAS,"Las Vegas, NV",SEA,"Seattle, WA",0,0
2023,APR,15,Saturday,Alaska Airlines,ATL,"Atlanta, GA",SEA,"Seattle, WA",0,0
2023,MAR,14,Tuesday,Alaska Airlines,ANC,"Anchorage, AK",HNL,"Honolulu, HI",1,1
2022,OCT,4,Tuesday,United Air Lines,IAH,"Houston, TX",MSP,"Minneapolis, MN",0,0
2023,APR,7,Friday,United Air Lines,LIH,"Lihue, HI",SFO,"San Francisco, CA",0,0
2023,AUG,10,Thursday,American Airlines,PHX,"Phoenix, AZ",GEG,"Spokane, WA",0,0
2023,APR,10,Monday,Frontier Airlines,FLL,"Fort Lauderdale, FL",MDW,"Chicago, IL",0,0
2022,NOV,21,Monday,Republic Airline,ORD,"Chicago, IL",RIC,"Richmond, VA",0,0
2023,MAR,3,Friday,Southwest Airlines,MIA,"Miami, FL",MDW,"Chicago, IL",1,0
2022,AUG,26,Friday,American Airlines,DFW,"Dallas/Fort Worth, TX",SJU,"San Juan, PR",0,0
2023,MAY,12,Friday,American Airlines,DFW,"Dallas/Fort Worth, TX",SAV,"Savannah, GA",1,1
2022,OCT,17,Monday,Southwest Airlines,BWI,"Baltimore, MD",SRQ,"Sarasota/Bradenton, FL",1,1
2023,AUG,7,Monday,Southwest Airlines,COS,"Colorado Springs, CO",DAL,"Dallas, TX",0,0
2023,MAY,1,Monday,American Airlines,CMH,"Columbus, OH",CLT,"Charlotte, NC",0,0
2022,AUG,14,Sunday,Southwest Airlines,ORD,"Chicago, IL",DEN,"Denver, CO",1,1
2022,OCT,1,Saturday,SkyWest Airlines,SEA,"Seattle, WA",ONT,"Ontario, CA",0,0
2023,JAN,18,Wednesday,SkyWest Airlines,SFO,"San Francisco, CA",SNA,"Santa Ana, CA",0,0
2022,NOV,15,Tuesday,Republic Airline,DCA,"Washington, DC",GSO,"Greensboro/High Point, NC",0,0
2023,APR,6,Thursday,Endeavor Air,MSP,"Minneapolis, MN",XNA,"Fayetteville, AR",0,0
2023,AUG,30,Wednesday,Southwest Airlines,SMF,"Sacramento, CA",LAS,"Las Vegas, NV",0,0
2023,AUG,3,Thursday,Allegiant Air,SFB,"Sanford, FL",LIT,"Little Rock, AR",1,1
2023,APR,29,Saturday,Endeavor Air,EVV,"Evansville, IN",ATL,"Atlanta, GA",0,0
2023,JAN,3,Tuesday,Southwest Airlines,HNL,"Honolulu, HI",LGB,"Long Beach, CA",1,0
2023,MAY,21,Sunday,Delta Air Lines,ATL,"Atlanta, GA",BDL,"Hartford, CT",0,0
2022,OCT,17,Monday,Horizon Air,PUW,"Pullman, WA",SEA,"Seattle, WA",0,0
2023,AUG,25,Friday,JetBlue Airways,ACK,"Nantucket, MA",JFK,"New York, NY",0,0
2022,AUG,28,Sunday,Endeavor Air,DTW,"Detroit, MI",MEM,"Memphis, TN",0,0
2022,DEC,5,Monday,Delta Air Lines,SLC,"Salt Lake City, UT",SJC,"San Jose, CA",0,0
2023,MAR,12,Sunday,Southwest Airlines,MCO,"Orlando, FL",BWI,"Baltimore, MD",1,1
2022,NOV,11,Friday,Frontier Airlines,SAN,"San Diego, CA",PHX,"Phoenix, AZ",1,1
2023,JAN,14,Saturday,Southwest Airlines,MSY,"New Orleans, LA",MDW,"Chicago, IL",1,1
2023,MAY,1,Monday,Allegiant Air,XNA,"Fayetteville, AR",VPS,"Valparaiso, FL",0,0
2023,MAY,6,Saturday,Alaska Airlines,ANC,"Anchorage, AK",SEA,"Seattle, WA",0,1
2023,JUL,11,Tuesday,SkyWest Airlines,GUC,"Gunnison, CO",DEN,"Denver, CO",0,0
2023,MAR,2,Thursday,Delta Air Lines,PHX,"Phoenix, AZ",ATL,"Atlanta, GA",1,1
2022,NOV,27,Sunday,SkyWest Airlines,VCT,"Victoria, TX",IAH,"Houston, TX",1,0
2023,FEB,24,Friday,Southwest Airlines,COS,"Colorado Springs, CO",LAS,"Las Vegas, NV",1,1
2023,FEB,25,Saturday,Southwest Airlines,DEN,"Denver, CO",LAX,"Los Angeles, CA",0,1
2023,MAR,16,Thursday,Delta Air Lines,BNA,"Nashville, TN",BOS,"Boston, MA",0,0
2022,NOV,13,Sunday,Delta Air Lines,ATL,"Atlanta, GA",LGA,"New York, NY",1,1
2022,NOV,6,Sunday,Delta Air Lines,DTW,"Detroit, MI",TVC,"Traverse City, MI",0,0
2023,AUG,26,Saturday,Southwest Airlines,MIA,"Miami, FL",BWI,"Baltimore, MD",0,0
2022,DEC,16,Friday,Mesa Airlines,IAD,"Washington, DC",ORF,"Norfolk, VA",1,1
2022,NOV,29,Tuesday,Endeavor Air,JFK,"New York, NY",RIC,"Richmond, VA",0,0
2023,JUL,11,Tuesday,Hawaiian Airlines,ITO,"Hilo, HI",HNL,"Honolulu, HI",0,0
2022,AUG,19,Friday,Republic Airline,BOS,"Boston, MA",PHL,"Philadelphia, PA",0,0
2023,JAN,15,Sunday,Envoy Air,BNA,"Nashville, TN",TPA,"Tampa, FL",0,0
2023,FEB,5,Sunday,Hawaiian Airlines,HNL,"Honolulu, HI",OGG,"Kahului, HI",0,0
2022,OCT,6,Thursday,Allegiant Air,PIE,"St. Petersburg, FL",CVG,"Cincinnati, OH",0,0
2022,SEP,9,Friday,Delta Air Lines,ATL,"Atlanta, GA",GSO,"Greensboro/High Point, NC",0,0
2023,JAN,21,Saturday,Delta Air Lines,MCO,"Orlando, FL",SLC,"Salt Lake City, UT",0,0
2023,JAN,21,Saturday,Southwest Airlines,OAK,"Oakland, CA",OGG,"Kahului, HI",1,0
2023,JUN,8,Thursday,Alaska Airlines,SEA,"Seattle, WA",IAD,"Washington, DC",0,0
2023,MAR,3,Friday,United Air Lines,FLL,"Fort Lauderdale, FL",EWR,"Newark, NJ",0,0
2022,SEP,17,Saturday,Southwest Airlines,SMF,"Sacramento, CA",DEN,"Denver, CO",0,0
2022,DEC,29,Thursday,American Airlines,ORD,"Chicago, IL",MCO,"Orlando, FL",0,0
2022,SEP,15,Thursday,Horizon Air,SEA,"Seattle, WA",PSC,"Pasco/Kennewick/Richland, WA",0,0
2023,FEB,24,Friday,Envoy Air,SBP,"San Luis Obispo, CA",PHX,"Phoenix, AZ",0,1
2022,SEP,10,Saturday,Spirit Air Lines,ATL,"Atlanta, GA",ORD,"Chicago, IL",1,0
2022,NOV,3,Thursday,SkyWest Airlines,LAX,"Los Angeles, CA",ABQ,"Albuquerque, NM",0,0
2022,AUG,16,Tuesday,American Airlines,PHX,"Phoenix, AZ",LAS,"Las Vegas, NV",0,0
2023,MAY,19,Friday,Southwest Airlines,HOU,"Houston, TX",TPA,"Tampa, FL",1,0
2022,DEC,31,Saturday,SkyWest Airlines,RDM,"Bend/Redmond, OR",SFO,"San Francisco, CA",1,1
2023,AUG,25,Friday,PSA Airlines,CLT,"Charlotte, NC",BGR,"Bangor, ME",0,0
2023,FEB,1,Wednesday,Delta Air Lines,SAT,"San Antonio, TX",SLC,"Salt Lake City, UT",0,0
2023,JAN,11,Wednesday,Republic Airline,CHS,"Charleston, SC",DCA,"Washington, DC",1,1
2022,NOV,28,Monday,American Airlines,MIA,"Miami, FL",CLT,"Charlotte, NC",0,0
2022,DEC,13,Tuesday,Delta Air Lines,LGA,"New York, NY",IAH,"Houston, TX",0,0
2022,NOV,28,Monday,Southwest Airlines,COS,"Colorado Springs, CO",LAS,"Las Vegas, NV",0,0
2023,JUN,8,Thursday,Spirit Air Lines,ORD,"Chicago, IL",ATL,"Atlanta, GA",0,0
2022,SEP,10,Saturday,Southwest Airlines,RDU,"Raleigh/Durham, NC",MCO,"Orlando, FL",0,0
2022,AUG,26,Friday,American Airlines,STT,"Charlotte Amalie, VI",CLT,"Charlotte, NC",0,0
2022,NOV,17,Thursday,Envoy Air,AUS,"Austin, TX",ELP,"El Paso, TX",0,0
2023,AUG,18,Friday,SkyWest Airlines,LBB,"Lubbock, TX",PHX,"Phoenix, AZ",0,0
2023,MAR,28,Tuesday,United Air Lines,SFO,"San Francisco, CA",ORD,"Chicago, IL",1,1
2023,APR,12,Wednesday,United Air Lines,IAD,"Washington, DC",IAH,"Houston, TX",0,0
2023,JUN,23,Friday,JetBlue Airways,LGA,"New York, NY",BNA,"Nashville, TN",1,1
2023,APR,12,Wednesday,SkyWest Airlines,SFO,"San Francisco, CA",SBA,"Santa Barbara, CA",0,0
2023,AUG,18,Friday,Endeavor Air,SAV,"Savannah, GA",LGA,"New York, NY",0,1
2023,JUL,23,Sunday,Southwest Airlines,FLL,"Fort Lauderdale, FL",AUS,"Austin, TX",0,1
2023,MAR,8,Wednesday,Southwest Airlines,PHX,"Phoenix, AZ",SAN,"San Diego, CA",0,0
2022,SEP,5,Monday,Southwest Airlines,LIH,"Lihue, HI",HNL,"Honolulu, HI",0,0
2022,AUG,17,Wednesday,Endeavor Air,BOS,"Boston, MA",CLE,"Cleveland, OH",0,0
2022,DEC,18,Sunday,Southwest Airlines,LAS,"Las Vegas, NV",SJC,"San Jose, CA",0,0
2022,OCT,27,Thursday,Southwest Airlines,MDW,"Chicago, IL",BUF,"Buffalo, NY",0,0
2023,AUG,8,Tuesday,American Airlines,DFW,"Dallas/Fort Worth, TX",EWR,"Newark, NJ",0,0
2023,JUL,19,Wednesday,Southwest Airlines,MSY,"New Orleans, LA",MCO,"Orlando, FL",1,1
2022,SEP,24,Saturday,SkyWest Airlines,SBA,"Santa Barbara, CA",PDX,"Portland, OR",0,0
2023,JUL,15,Saturday,United Air Lines,EWR,"Newark, NJ",RSW,"Fort Myers, FL",1,1
2022,DEC,19,Monday,Envoy Air,ORD,"Chicago, IL",IND,"Indianapolis, IN",0,0
2022,SEP,4,Sunday,Endeavor Air,MSP,"Minneapolis, MN",DSM,"Des Moines, IA",0,0
